Date,Open,High,Low,Close,Volume
13-Oct-16,61020.38,61328.59,60243.14,61118.58,-
11-Oct-16,61668.33,61668.33,60884.77,61021.85,-
10-Oct-16,61130.24,61756.33,61130.24,61668.33,-
7-Oct-16,60645.41,61274.57,60478.95,61108.98,-
6-Oct-16,60254.34,60723.99,60070.31,60644.24,-
5-Oct-16,59340.04,60477.30,59340.04,60254.34,-
4-Oct-16,59461.22,59579.77,58891.86,59339.23,-
3-Oct-16,58370.15,59548.54,58366.55,59461.23,-
30-Sep-16,58349.99,58900.44,58271.36,58367.05,-
29-Sep-16,59346.00,59621.19,58291.79,58350.57,-
28-Sep-16,58382.75,59415.41,58353.48,59355.77,-
27-Sep-16,58066.44,58490.38,57410.72,58382.49,-
26-Sep-16,58697.03,58697.03,57904.19,58053.53,-
23-Sep-16,58992.22,59130.83,58408.80,58697.00,-
22-Sep-16,58407.63,59462.44,58407.63,58994.17,-
21-Sep-16,57736.46,58574.60,57326.03,58393.92,-
20-Sep-16,57355.59,57902.29,57355.59,57736.46,-
19-Sep-16,57082.82,58024.87,57082.82,57350.38,-
16-Sep-16,57909.49,57909.49,56794.11,57079.76,-
15-Sep-16,57068.26,58127.11,57068.26,57909.49,-
14-Sep-16,56812.40,57341.97,56694.45,57059.46,-
13-Sep-16,58579.91,58579.91,56459.11,56820.77,-
12-Sep-16,57998.16,58595.09,57511.17,58586.11,-
9-Sep-16,60220.18,60220.18,57961.41,57999.73,-
8-Sep-16,60129.30,60310.50,59742.86,60231.65,-
6-Sep-16,59565.62,60129.44,59182.14,60129.44,-
5-Sep-16,59616.39,59985.52,59402.23,59566.34,-
2-Sep-16,58240.53,59654.66,58240.53,59616.40,-
1-Sep-16,57901.45,58416.80,57637.80,58236.27,-
31-Aug-16,58579.97,58910.43,57506.40,57901.11,-
30-Aug-16,58610.39,58881.63,58292.87,58575.42,-
29-Aug-16,57717.18,58957.18,57641.51,58610.39,-
26-Aug-16,57724.94,58655.21,57259.13,57716.25,-
25-Aug-16,57717.88,58123.74,57638.64,57722.14,-
24-Aug-16,58019.15,58332.13,57456.40,57717.88,-
23-Aug-16,57781.24,58596.37,57781.24,58020.03,-
22-Aug-16,59079.71,59098.94,57631.38,57781.24,-
19-Aug-16,59158.28,59239.87,58599.48,59098.92,-
18-Aug-16,59323.83,59417.88,58828.96,59166.02,-
17-Aug-16,58846.94,59323.83,58081.45,59323.83,-
16-Aug-16,59144.35,59187.33,58589.19,58855.43,-
15-Aug-16,58316.23,59323.91,58316.23,59145.98,-
12-Aug-16,58299.57,58753.03,57986.92,58298.41,-
11-Aug-16,56925.04,58308.39,56922.83,58299.57,-
10-Aug-16,57690.34,57952.87,56735.24,56919.78,-
9-Aug-16,57637.48,58094.57,57615.15,57689.42,-
8-Aug-16,57655.48,57917.06,57504.17,57635.43,-
5-Aug-16,57609.42,57950.90,57289.55,57661.14,-
4-Aug-16,57075.72,58030.38,57075.72,57593.90,-
3-Aug-16,56157.39,57101.09,55788.00,57076.91,-
2-Aug-16,56755.92,56973.57,55695.52,56162.38,-
1-Aug-16,57309.23,57729.31,56675.81,56755.76,-
29-Jul-16,56663.94,57473.83,56339.59,57308.21,-
28-Jul-16,56853.32,56853.32,55992.71,56667.12,-
27-Jul-16,56788.47,57380.30,56788.47,56852.84,-
26-Jul-16,56876.24,57309.50,56707.84,56782.75,-
25-Jul-16,57006.39,57205.25,56397.88,56872.73,-
22-Jul-16,56641.49,57170.56,56518.04,57002.08,-
21-Jul-16,56578.05,56906.27,56232.51,56641.49,-
20-Jul-16,56698.77,56927.16,56220.73,56578.05,-
19-Jul-16,56487.30,56698.06,56246.15,56698.06,-
18-Jul-16,55573.29,56508.98,55355.07,56484.22,-
15-Jul-16,55481.75,55648.70,55233.20,55578.24,-
14-Jul-16,54600.82,55633.54,54600.82,55480.87,-
13-Jul-16,54256.40,54646.91,53732.82,54598.28,-
12-Jul-16,53960.58,54746.30,53960.58,54256.41,-
11-Jul-16,53143.48,54020.65,53143.48,53960.11,-
8-Jul-16,52019.55,53166.49,52019.55,53140.74,-
7-Jul-16,51901.80,52718.79,51888.19,52014.66,-
6-Jul-16,51842.15,51908.75,50824.99,51901.81,-
5-Jul-16,52565.20,52565.20,51510.43,51842.27,-
4-Jul-16,52241.12,52917.78,52241.12,52568.66,-
1-Jul-16,51540.21,52346.07,51411.23,52233.04,-
30-Jun-16,51001.38,51619.06,50585.06,51526.93,-
29-Jun-16,50009.45,51229.09,50009.45,51001.91,-
28-Jun-16,49252.12,50301.43,49252.12,50006.56,-
27-Jun-16,50105.81,50161.61,48954.41,49245.53,-
24-Jun-16,51561.05,51561.05,49544.32,50105.26,-
23-Jun-16,50160.76,51672.63,50160.76,51559.82,-
22-Jun-16,50834.72,51238.56,50060.39,50156.30,-
21-Jun-16,50326.04,50870.42,49677.76,50837.80,-
20-Jun-16,49539.40,50781.55,49539.40,50329.36,-
17-Jun-16,49409.25,50190.52,49404.79,49533.84,-
16-Jun-16,48900.91,49411.62,48066.67,49411.62,-
15-Jun-16,48649.41,49414.95,48323.67,48914.74,-
14-Jun-16,49662.11,49894.40,48216.36,48648.29,-
13-Jun-16,49418.63,49763.54,48803.56,49660.79,-
10-Jun-16,51117.44,51117.44,49420.98,49422.16,-
9-Jun-16,51632.81,51632.81,50831.67,51118.46,-
8-Jun-16,50490.11,51811.58,50490.11,51629.29,-
7-Jun-16,50431.68,50641.12,50004.67,50487.86,-
6-Jun-16,50627.24,50923.54,50097.27,50431.80,-
3-Jun-16,49888.31,50634.36,49888.31,50619.50,-
2-Jun-16,49007.81,49905.57,48780.54,49887.24,-
1-Jun-16,48468.19,49056.89,48199.87,49012.65,-
31-May-16,48963.18,49269.22,48291.51,48471.71,-
30-May-16,49051.17,49203.06,48799.22,48964.34,-
27-May-16,49481.32,49805.14,48868.56,49051.49,-
25-May-16,49346.50,50356.95,49346.50,49482.86,-
24-May-16,49330.42,50002.07,49152.88,49345.19,-
23-May-16,49709.17,49709.17,48694.73,49330.42,-
20-May-16,50132.65,50821.74,49722.75,49722.75,-
19-May-16,50556.06,50556.06,49588.26,50132.53,-
18-May-16,50836.08,51373.21,50300.63,50561.70,-
17-May-16,51795.46,51946.10,50689.36,50839.44,-
16-May-16,51803.33,52305.46,51584.51,51802.92,-
13-May-16,53236.48,53249.73,51365.57,51804.31,-
12-May-16,52765.27,53703.13,52424.04,53241.31,-
11-May-16,53072.40,53976.29,52735.94,52764.46,-
10-May-16,50994.01,53070.91,50994.01,53070.91,-
9-May-16,51716.51,51716.51,49907.77,50990.06,-
6-May-16,51670.57,52158.95,51204.04,51717.83,-
5-May-16,52568.61,53070.71,51310.97,51671.04,-
4-May-16,52253.14,52672.44,51930.77,52552.80,-
3-May-16,53557.14,53557.14,52260.19,52260.19,-
2-May-16,53909.53,54112.79,53265.28,53561.53,-
29-Apr-16,54316.76,54705.14,53591.60,53910.51,-
28-Apr-16,54475.28,54977.70,53963.10,54311.97,-
27-Apr-16,53094.22,54559.56,53094.22,54477.78,-
26-Apr-16,51867.04,53107.76,51838.25,53082.50,-
25-Apr-16,52911.07,52948.66,51748.28,51861.71,-
22-Apr-16,53630.07,53630.07,52629.48,52907.88,-
20-Apr-16,53710.68,53857.36,53149.00,53630.93,-
19-Apr-16,52894.08,54054.03,52894.08,53710.05,-
18-Apr-16,53228.74,53478.75,52305.37,52894.08,-
15-Apr-16,52414.24,53390.42,52414.24,53227.74,-
14-Apr-16,53150.34,53699.35,52242.23,52411.02,-
13-Apr-16,52009.52,53843.74,52009.52,53149.84,-
12-Apr-16,50166.46,52327.21,50166.46,52001.86,-
11-Apr-16,50303.33,51088.89,50078.23,50165.47,-
8-Apr-16,48517.02,50485.98,48517.02,50292.93,-
7-Apr-16,48099.11,48940.48,48099.11,48513.10,-
6-Apr-16,49053.82,49053.82,47873.65,48096.24,-
5-Apr-16,48778.04,49629.43,48148.75,49053.62,-
4-Apr-16,50556.18,50556.18,48600.45,48779.99,-
